                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     62,                0.33033,                0.22165,                0.79197,                0.87754,                0.73181,                0.77501,                0.67614,                0.35232,                0.28419,                0.80311,             4.7136e-05,             4.7136e-05,             4.7136e-05
                     63,                0.32618,                0.21825,                0.78978,                0.84262,                0.76526,                0.84953,                0.75307,                 0.3531,                0.29583,                0.80987,             4.5958e-05,             4.5958e-05,             4.5958e-05
                     64,                0.32148,                0.21685,                0.78775,                0.85315,                0.74184,                0.91368,                0.80652,                0.34386,                0.28902,                0.80322,              4.478e-05,              4.478e-05,              4.478e-05
                     65,                0.32058,                0.21248,                 0.7911,                0.71096,                0.77752,                0.75748,                0.67442,                0.34729,                 0.2872,                0.80449,             4.3602e-05,             4.3602e-05,             4.3602e-05
                     66,                0.31849,                0.21634,                0.79121,                0.86623,                 0.7632,                0.90732,                0.80556,                0.35158,                0.28192,                0.80614,             4.2423e-05,             4.2423e-05,             4.2423e-05
                     67,                0.31615,                0.21167,                0.78829,                0.89039,                0.73256,                0.79839,                0.69925,                0.35088,                0.28934,                0.80546,             4.1245e-05,             4.1245e-05,             4.1245e-05
                     68,                0.31178,                0.20694,                0.78806,                0.70036,                0.75953,                0.79965,                0.70329,                0.35313,                0.28747,                0.80658,             4.0067e-05,             4.0067e-05,             4.0067e-05
                     69,                0.31291,                0.20712,                0.78696,                0.87641,                0.74258,                0.83883,                0.74286,                0.34636,                0.29413,                  0.803,             3.8889e-05,             3.8889e-05,             3.8889e-05
                     70,                 0.3161,                0.20826,                0.78976,                0.77652,                0.68325,                0.78431,                0.68561,                 0.3469,                0.28683,                0.80027,             3.7711e-05,             3.7711e-05,             3.7711e-05
                     71,                0.31763,                0.20858,                0.78979,                0.85322,                0.75165,                0.84383,                0.74491,                0.34201,                0.28157,                0.80395,             3.6533e-05,             3.6533e-05,             3.6533e-05
                     72,                0.31561,                0.20277,                0.78754,                 0.7211,                0.76154,                0.80277,                 0.7059,                0.33821,                0.28156,                0.80014,             3.5355e-05,             3.5355e-05,             3.5355e-05
                     73,                0.31486,                0.20362,                0.78705,                0.86644,                0.74962,                0.90672,                0.80304,                0.34197,                 0.2864,                0.80012,             3.4177e-05,             3.4177e-05,             3.4177e-05
                     74,                0.31317,                0.20338,                0.78891,                0.87176,                0.73396,                0.83642,                0.73261,                0.35003,                0.28863,                0.80585,             3.2999e-05,             3.2999e-05,             3.2999e-05
                     75,                0.30811,                0.19832,                 0.7873,                 0.7443,                0.80241,                0.80692,                0.71828,                0.34428,                 0.2787,                 0.8046,             3.1821e-05,             3.1821e-05,             3.1821e-05
                     76,                0.30963,                 0.1989,                0.78685,                 0.8868,                0.73377,                0.79912,                0.70161,                0.34238,                0.28351,                0.80283,             3.0643e-05,             3.0643e-05,             3.0643e-05
                     77,                0.30918,                0.19748,                0.78579,                0.77127,                0.73085,                0.79853,                0.70244,                0.34479,                0.28219,                0.80404,             2.9464e-05,             2.9464e-05,             2.9464e-05
                     78,                0.30677,                0.19866,                0.78494,                0.85823,                0.71077,                0.78308,                0.68754,                0.34168,                0.28808,                0.80418,             2.8286e-05,             2.8286e-05,             2.8286e-05
                     79,                0.30607,                0.19263,                0.78661,                0.76997,                0.73351,                 0.7908,                0.70107,                0.34128,                0.28181,                0.80466,             2.7108e-05,             2.7108e-05,             2.7108e-05
                     80,                0.30487,                0.19047,                0.78559,                0.76388,                0.75492,                0.79004,                0.69951,                0.34042,                0.28645,                0.80014,              2.593e-05,              2.593e-05,              2.593e-05
                     81,                0.30469,                0.18952,                0.78598,                0.75804,                0.74287,                0.79155,                0.70723,                0.34383,                0.28638,                0.80621,             2.4752e-05,             2.4752e-05,             2.4752e-05
                     82,                0.30422,                0.18733,                0.78622,                0.73634,                0.75135,                0.78743,                0.69801,                0.34098,                0.28759,                0.80471,             2.3574e-05,             2.3574e-05,             2.3574e-05
                     83,                0.30141,                0.18773,                0.78542,                0.85501,                0.75104,                0.80949,                0.71746,                0.34552,                0.28455,                0.80717,             2.2396e-05,             2.2396e-05,             2.2396e-05
                     84,                0.30032,                0.18485,                0.78531,                0.86726,                0.74479,                0.80398,                0.71741,                0.34474,                0.28057,                0.80341,             2.1218e-05,             2.1218e-05,             2.1218e-05
                     85,                0.30221,                0.18684,                0.78674,                0.87409,                0.74534,                 0.7885,                0.69842,                0.34245,                0.27703,                 0.8037,              2.004e-05,              2.004e-05,              2.004e-05
                     86,                0.29786,                0.18122,                0.78347,                0.84572,                0.76335,                0.79822,                0.70121,                0.34013,                0.28637,                0.80043,             1.8862e-05,             1.8862e-05,             1.8862e-05
                     87,                0.29759,                0.18056,                0.78283,                0.88382,                0.73831,                0.80398,                0.70859,                0.33967,                0.28485,                0.80233,             1.7683e-05,             1.7683e-05,             1.7683e-05
                     88,                0.29724,                0.17955,                0.78444,                0.86691,                0.76059,                0.79597,                0.70347,                0.33718,                0.27607,                0.80358,             1.6505e-05,             1.6505e-05,             1.6505e-05
                     89,                 0.2974,                0.17848,                0.78171,                0.75446,                0.76208,                0.79467,                0.70968,                0.33718,                0.28077,                0.80341,             1.5327e-05,             1.5327e-05,             1.5327e-05
                     90,                 0.2965,                0.18001,                0.78419,                0.78405,                0.69044,                0.78611,                0.69187,                0.33793,                0.27914,                0.80408,             1.4149e-05,             1.4149e-05,             1.4149e-05
                     91,                0.27938,                0.17013,                0.77277,                0.74609,                 0.7548,                0.79295,                0.70267,                0.34147,                0.29061,                0.80685,             1.2971e-05,             1.2971e-05,             1.2971e-05
                     92,                0.27694,                0.16921,                0.77423,                0.73088,                0.72483,                0.76018,                0.66924,                0.34301,                0.29058,                0.80791,             1.1793e-05,             1.1793e-05,             1.1793e-05
                     93,                0.27415,                0.16842,                0.77433,                0.78082,                0.68605,                0.77866,                  0.689,                0.34368,                0.28111,                0.80727,             1.0615e-05,             1.0615e-05,             1.0615e-05
                     94,                0.27382,                0.16386,                0.77257,                0.86868,                0.75792,                0.79088,                0.69471,                0.34381,                0.28331,                0.80648,             9.4367e-06,             9.4367e-06,             9.4367e-06
                     95,                0.27332,                0.16285,                0.77122,                0.74017,                0.75924,                0.79443,                0.70196,                0.34407,                0.28169,                0.80937,             8.2586e-06,             8.2586e-06,             8.2586e-06
                     96,                0.27447,                0.16382,                 0.7715,                0.86157,                0.75225,                0.79454,                 0.7001,                0.34266,                0.28182,                0.80927,             7.0805e-06,             7.0805e-06,             7.0805e-06
                     97,                0.27147,                0.16117,                0.76939,                0.85951,                0.75661,                0.80057,                 0.7058,                0.34309,                0.28673,                0.80962,             5.9024e-06,             5.9024e-06,             5.9024e-06
                     98,                0.27277,                0.16191,                0.77063,                0.87189,                0.75088,                0.79971,                0.71229,                0.34218,                0.28673,                0.80915,             4.7243e-06,             4.7243e-06,             4.7243e-06
                     99,                0.27053,                0.16056,                0.76992,                0.86729,                 0.7474,                 0.7992,                0.71006,                0.34184,                0.29226,                0.80848,             3.5462e-06,             3.5462e-06,             3.5462e-06
                    100,                 0.2702,                0.15849,                0.77015,                0.85727,                 0.7558,                0.79915,                0.70522,                0.34169,                0.29225,                0.80868,             2.3681e-06,             2.3681e-06,             2.3681e-06
