                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     68,                 0.3159,                0.21089,                0.78636,                0.94686,                0.90228,                0.96165,                0.88138,                0.35376,                0.29308,                0.81029,             4.0067e-05,             4.0067e-05,             4.0067e-05
                     69,                0.31633,                 0.2085,                0.78656,                0.94699,                0.90872,                0.95952,                0.88411,                0.34573,                0.28791,                0.80246,             3.8889e-05,             3.8889e-05,             3.8889e-05
                     70,                0.31775,                0.21072,                0.78868,                0.94523,                0.90763,                0.95836,                0.88413,                 0.3479,                0.28865,                0.80301,             3.7711e-05,             3.7711e-05,             3.7711e-05
                     71,                0.32206,                0.21163,                 0.7909,                0.95563,                0.89385,                0.96059,                0.88449,                 0.3488,                0.29571,                0.80559,             3.6533e-05,             3.6533e-05,             3.6533e-05
                     72,                0.31772,                0.20488,                0.78661,                0.93864,                0.92152,                0.95782,                0.88382,                0.34582,                0.28107,                0.80288,             3.5355e-05,             3.5355e-05,             3.5355e-05
                     73,                0.31642,                0.20677,                0.78765,                 0.9273,                0.91968,                 0.9633,                0.88644,                0.35051,                0.28227,                0.80625,             3.4177e-05,             3.4177e-05,             3.4177e-05
                     74,                0.31396,                0.20553,                0.78878,                0.92849,                0.92121,                0.96237,                0.88244,                0.34851,                 0.2801,                 0.8059,             3.2999e-05,             3.2999e-05,             3.2999e-05
                     75,                0.31114,                0.20177,                0.78733,                 0.9373,                0.91299,                0.96103,                0.88391,                0.34734,                0.27948,                0.80616,             3.1821e-05,             3.1821e-05,             3.1821e-05
                     76,                0.31218,                0.20162,                0.78685,                0.94484,                0.90763,                0.96237,                0.88779,                0.34333,                0.27651,                0.80223,             3.0643e-05,             3.0643e-05,             3.0643e-05
                     77,                0.31033,                0.20057,                0.78557,                0.93233,                0.92217,                0.96114,                0.88855,                0.34236,                0.27527,                0.80382,             2.9464e-05,             2.9464e-05,             2.9464e-05
                     78,                0.30854,                0.19742,                0.78462,                0.94945,                0.90495,                0.96255,                0.88878,                0.34681,                0.27117,                0.80727,             2.8286e-05,             2.8286e-05,             2.8286e-05
                     79,                0.30805,                0.19556,                0.78651,                0.94506,                0.91834,                0.96496,                0.89095,                0.33958,                0.27041,                0.80447,             2.7108e-05,             2.7108e-05,             2.7108e-05
