Ultralytics YOLOv8.2.5 🚀 Python-3.10.12 torch-2.3.0+cu121 CUDA:0 (NVIDIA GeForce RTX 4090, 24217MiB)
video 1/1 (frame 84/30600) /workspace/codebase/input_videos/2.mp4: 736x2560 4 persons, 30.4ms
video 1/1 (frame 85/30600) /workspace/codebase/input_videos/2.mp4: 736x2560 5 persons, 30.5ms
video 1/1 (frame 86/30600) /workspace/codebase/input_videos/2.mp4: 736x2560 6 persons, 30.4ms
video 1/1 (frame 87/30600) /workspace/codebase/input_videos/2.mp4: 736x2560 6 persons, 30.4ms
video 1/1 (frame 88/30600) /workspace/codebase/input_videos/2.mp4: 736x2560 5 persons, 30.6ms
video 1/1 (frame 89/30600) /workspace/codebase/input_videos/2.mp4: 736x2560 6 persons, 30.4ms
video 1/1 (frame 90/30600) /workspace/codebase/input_videos/2.mp4: 736x2560 5 persons, 30.6ms
video 1/1 (frame 91/30600) /workspace/codebase/input_videos/2.mp4: 736x2560 5 persons, 30.4ms
video 1/1 (frame 92/30600) /workspace/codebase/input_videos/2.mp4: 736x2560 5 persons, 30.5ms
video 1/1 (frame 93/30600) /workspace/codebase/input_videos/2.mp4: 736x2560 4 persons, 30.5ms
video 1/1 (frame 94/30600) /workspace/codebase/input_videos/2.mp4: 736x2560 3 persons, 30.4ms
video 1/1 (frame 95/30600) /workspace/codebase/input_videos/2.mp4: 736x2560 3 persons, 30.5ms
video 1/1 (frame 96/30600) /workspace/codebase/input_videos/2.mp4: 736x2560 3 persons, 30.4ms
video 1/1 (frame 97/30600) /workspace/codebase/input_videos/2.mp4: 736x2560 4 persons, 30.5ms
video 1/1 (frame 98/30600) /workspace/codebase/input_videos/2.mp4: 736x2560 4 persons, 30.4ms
video 1/1 (frame 99/30600) /workspace/codebase/input_videos/2.mp4: 736x2560 3 persons, 30.5ms
video 1/1 (frame 100/30600) /workspace/codebase/input_videos/2.mp4: 736x2560 3 persons, 30.4ms
video 1/1 (frame 101/30600) /workspace/codebase/input_videos/2.mp4: 736x2560 4 persons, 30.5ms
video 1/1 (frame 102/30600) /workspace/codebase/input_videos/2.mp4: 736x2560 4 persons, 30.5ms
video 1/1 (frame 103/30600) /workspace/codebase/input_videos/2.mp4: 736x2560 4 persons, 30.6ms
video 1/1 (frame 104/30600) /workspace/codebase/input_videos/2.mp4: 736x2560 5 persons, 30.4ms
video 1/1 (frame 105/30600) /workspace/codebase/input_videos/2.mp4: 736x2560 5 persons, 30.4ms
video 1/1 (frame 106/30600) /workspace/codebase/input_videos/2.mp4: 736x2560 5 persons, 30.6ms
video 1/1 (frame 107/30600) /workspace/codebase/input_videos/2.mp4: 736x2560 5 persons, 30.4ms
video 1/1 (frame 108/30600) /workspace/codebase/input_videos/2.mp4: 736x2560 4 persons, 30.5ms
video 1/1 (frame 109/30600) /workspace/codebase/input_videos/2.mp4: 736x2560 4 persons, 30.4ms
video 1/1 (frame 110/30600) /workspace/codebase/input_videos/2.mp4: 736x2560 5 persons, 30.4ms
video 1/1 (frame 111/30600) /workspace/codebase/input_videos/2.mp4: 736x2560 3 persons, 30.6ms
video 1/1 (frame 112/30600) /workspace/codebase/input_videos/2.mp4: 736x2560 5 persons, 30.4ms
video 1/1 (frame 113/30600) /workspace/codebase/input_videos/2.mp4: 736x2560 3 persons, 30.4ms
video 1/1 (frame 114/30600) /workspace/codebase/input_videos/2.mp4: 736x2560 3 persons, 30.4ms
video 1/1 (frame 115/30600) /workspace/codebase/input_videos/2.mp4: 736x2560 4 persons, 30.5ms
video 1/1 (frame 116/30600) /workspace/codebase/input_videos/2.mp4: 736x2560 6 persons, 30.4ms
video 1/1 (frame 117/30600) /workspace/codebase/input_videos/2.mp4: 736x2560 5 persons, 30.4ms
video 1/1 (frame 118/30600) /workspace/codebase/input_videos/2.mp4: 736x2560 6 persons, 30.6ms
video 1/1 (frame 119/30600) /workspace/codebase/input_videos/2.mp4: 736x2560 6 persons, 30.4ms
video 1/1 (frame 120/30600) /workspace/codebase/input_videos/2.mp4: 736x2560 7 persons, 30.4ms
video 1/1 (frame 121/30600) /workspace/codebase/input_videos/2.mp4: 736x2560 7 persons, 30.4ms
video 1/1 (frame 122/30600) /workspace/codebase/input_videos/2.mp4: 736x2560 8 persons, 30.4ms
video 1/1 (frame 123/30600) /workspace/codebase/input_videos/2.mp4: 736x2560 8 persons, 30.4ms
video 1/1 (frame 124/30600) /workspace/codebase/input_videos/2.mp4: 736x2560 7 persons, 30.4ms
video 1/1 (frame 125/30600) /workspace/codebase/input_videos/2.mp4: 736x2560 8 persons, 30.5ms
video 1/1 (frame 126/30600) /workspace/codebase/input_videos/2.mp4: 736x2560 7 persons, 30.4ms
video 1/1 (frame 127/30600) /workspace/codebase/input_videos/2.mp4: 736x2560 7 persons, 30.4ms
video 1/1 (frame 128/30600) /workspace/codebase/input_videos/2.mp4: 736x2560 7 persons, 30.4ms
video 1/1 (frame 129/30600) /workspace/codebase/input_videos/2.mp4: 736x2560 7 persons, 30.4ms
video 1/1 (frame 130/30600) /workspace/codebase/input_videos/2.mp4: 736x2560 6 persons, 30.6ms
