Ultralytics YOLOv8.2.11 🚀 Python-3.10.12 torch-2.1.0+cu118 CUDA:0 (NVIDIA GeForce RTX 4090, 24217MiB)
video 1/1 (frame 122/4192) /workspace/runpod-fine-tune-helper-script/input_videos/Compressed proper.mp4: 1088x3840 1 sports ball, 65.0ms
video 1/1 (frame 123/4192) /workspace/runpod-fine-tune-helper-script/input_videos/Compressed proper.mp4: 1088x3840 1 sports ball, 64.8ms
video 1/1 (frame 124/4192) /workspace/runpod-fine-tune-helper-script/input_videos/Compressed proper.mp4: 1088x3840 1 sports ball, 64.8ms
video 1/1 (frame 125/4192) /workspace/runpod-fine-tune-helper-script/input_videos/Compressed proper.mp4: 1088x3840 1 sports ball, 64.7ms
video 1/1 (frame 126/4192) /workspace/runpod-fine-tune-helper-script/input_videos/Compressed proper.mp4: 1088x3840 1 sports ball, 64.9ms
video 1/1 (frame 127/4192) /workspace/runpod-fine-tune-helper-script/input_videos/Compressed proper.mp4: 1088x3840 1 sports ball, 64.9ms
video 1/1 (frame 128/4192) /workspace/runpod-fine-tune-helper-script/input_videos/Compressed proper.mp4: 1088x3840 1 sports ball, 64.8ms
video 1/1 (frame 129/4192) /workspace/runpod-fine-tune-helper-script/input_videos/Compressed proper.mp4: 1088x3840 1 sports ball, 64.8ms
video 1/1 (frame 130/4192) /workspace/runpod-fine-tune-helper-script/input_videos/Compressed proper.mp4: 1088x3840 1 sports ball, 65.0ms
video 1/1 (frame 131/4192) /workspace/runpod-fine-tune-helper-script/input_videos/Compressed proper.mp4: 1088x3840 1 sports ball, 64.8ms
video 1/1 (frame 132/4192) /workspace/runpod-fine-tune-helper-script/input_videos/Compressed proper.mp4: 1088x3840 1 sports ball, 64.7ms
video 1/1 (frame 133/4192) /workspace/runpod-fine-tune-helper-script/input_videos/Compressed proper.mp4: 1088x3840 1 sports ball, 64.8ms
video 1/1 (frame 134/4192) /workspace/runpod-fine-tune-helper-script/input_videos/Compressed proper.mp4: 1088x3840 1 sports ball, 64.8ms
video 1/1 (frame 135/4192) /workspace/runpod-fine-tune-helper-script/input_videos/Compressed proper.mp4: 1088x3840 1 sports ball, 64.7ms
video 1/1 (frame 136/4192) /workspace/runpod-fine-tune-helper-script/input_videos/Compressed proper.mp4: 1088x3840 1 sports ball, 64.8ms
video 1/1 (frame 137/4192) /workspace/runpod-fine-tune-helper-script/input_videos/Compressed proper.mp4: 1088x3840 1 sports ball, 64.9ms
video 1/1 (frame 138/4192) /workspace/runpod-fine-tune-helper-script/input_videos/Compressed proper.mp4: 1088x3840 1 sports ball, 64.8ms
video 1/1 (frame 139/4192) /workspace/runpod-fine-tune-helper-script/input_videos/Compressed proper.mp4: 1088x3840 1 sports ball, 64.7ms
video 1/1 (frame 140/4192) /workspace/runpod-fine-tune-helper-script/input_videos/Compressed proper.mp4: 1088x3840 1 sports ball, 64.7ms
video 1/1 (frame 141/4192) /workspace/runpod-fine-tune-helper-script/input_videos/Compressed proper.mp4: 1088x3840 1 sports ball, 64.8ms
video 1/1 (frame 142/4192) /workspace/runpod-fine-tune-helper-script/input_videos/Compressed proper.mp4: 1088x3840 1 sports ball, 64.9ms
video 1/1 (frame 143/4192) /workspace/runpod-fine-tune-helper-script/input_videos/Compressed proper.mp4: 1088x3840 1 sports ball, 64.9ms
video 1/1 (frame 144/4192) /workspace/runpod-fine-tune-helper-script/input_videos/Compressed proper.mp4: 1088x3840 1 sports ball, 64.8ms
video 1/1 (frame 145/4192) /workspace/runpod-fine-tune-helper-script/input_videos/Compressed proper.mp4: 1088x3840 1 sports ball, 64.8ms
video 1/1 (frame 146/4192) /workspace/runpod-fine-tune-helper-script/input_videos/Compressed proper.mp4: 1088x3840 1 sports ball, 64.7ms
video 1/1 (frame 147/4192) /workspace/runpod-fine-tune-helper-script/input_videos/Compressed proper.mp4: 1088x3840 1 sports ball, 64.8ms
video 1/1 (frame 148/4192) /workspace/runpod-fine-tune-helper-script/input_videos/Compressed proper.mp4: 1088x3840 1 sports ball, 64.8ms
video 1/1 (frame 149/4192) /workspace/runpod-fine-tune-helper-script/input_videos/Compressed proper.mp4: 1088x3840 1 sports ball, 64.7ms
video 1/1 (frame 150/4192) /workspace/runpod-fine-tune-helper-script/input_videos/Compressed proper.mp4: 1088x3840 1 sports ball, 64.7ms
video 1/1 (frame 151/4192) /workspace/runpod-fine-tune-helper-script/input_videos/Compressed proper.mp4: 1088x3840 1 sports ball, 64.7ms
video 1/1 (frame 152/4192) /workspace/runpod-fine-tune-helper-script/input_videos/Compressed proper.mp4: 1088x3840 1 sports ball, 64.7ms
video 1/1 (frame 153/4192) /workspace/runpod-fine-tune-helper-script/input_videos/Compressed proper.mp4: 1088x3840 1 sports ball, 64.9ms
video 1/1 (frame 154/4192) /workspace/runpod-fine-tune-helper-script/input_videos/Compressed proper.mp4: 1088x3840 1 sports ball, 64.8ms
video 1/1 (frame 155/4192) /workspace/runpod-fine-tune-helper-script/input_videos/Compressed proper.mp4: 1088x3840 1 sports ball, 64.8ms
video 1/1 (frame 156/4192) /workspace/runpod-fine-tune-helper-script/input_videos/Compressed proper.mp4: 1088x3840 1 sports ball, 64.7ms
video 1/1 (frame 157/4192) /workspace/runpod-fine-tune-helper-script/input_videos/Compressed proper.mp4: 1088x3840 1 sports ball, 64.8ms
video 1/1 (frame 158/4192) /workspace/runpod-fine-tune-helper-script/input_videos/Compressed proper.mp4: 1088x3840 1 sports ball, 64.8ms
