Ultralytics YOLOv8.2.5 🚀 Python-3.10.12 torch-2.3.0+cu121 CUDA:0 (NVIDIA GeForce RTX 4090, 24217MiB)
YOLOv8x summary (fused): 268 layers, 68200608 parameters, 0 gradients, 257.8 GFLOPs

video 1/1 (frame 77/100) /workspace/codebase/input_videos/pi1-20240329_215144_1150_1250.mp4: 1088x1920 (no detections), 31.6ms
video 1/1 (frame 78/100) /workspace/codebase/input_videos/pi1-20240329_215144_1150_1250.mp4: 1088x1920 (no detections), 31.6ms
video 1/1 (frame 79/100) /workspace/codebase/input_videos/pi1-20240329_215144_1150_1250.mp4: 1088x1920 (no detections), 31.6ms
video 1/1 (frame 80/100) /workspace/codebase/input_videos/pi1-20240329_215144_1150_1250.mp4: 1088x1920 (no detections), 31.6ms
video 1/1 (frame 81/100) /workspace/codebase/input_videos/pi1-20240329_215144_1150_1250.mp4: 1088x1920 (no detections), 31.6ms
video 1/1 (frame 82/100) /workspace/codebase/input_videos/pi1-20240329_215144_1150_1250.mp4: 1088x1920 (no detections), 31.6ms
video 1/1 (frame 83/100) /workspace/codebase/input_videos/pi1-20240329_215144_1150_1250.mp4: 1088x1920 (no detections), 31.6ms
video 1/1 (frame 84/100) /workspace/codebase/input_videos/pi1-20240329_215144_1150_1250.mp4: 1088x1920 (no detections), 31.6ms
video 1/1 (frame 85/100) /workspace/codebase/input_videos/pi1-20240329_215144_1150_1250.mp4: 1088x1920 (no detections), 31.6ms
video 1/1 (frame 86/100) /workspace/codebase/input_videos/pi1-20240329_215144_1150_1250.mp4: 1088x1920 (no detections), 31.6ms
video 1/1 (frame 87/100) /workspace/codebase/input_videos/pi1-20240329_215144_1150_1250.mp4: 1088x1920 (no detections), 31.6ms
video 1/1 (frame 88/100) /workspace/codebase/input_videos/pi1-20240329_215144_1150_1250.mp4: 1088x1920 (no detections), 31.6ms
video 1/1 (frame 89/100) /workspace/codebase/input_videos/pi1-20240329_215144_1150_1250.mp4: 1088x1920 (no detections), 31.5ms
video 1/1 (frame 90/100) /workspace/codebase/input_videos/pi1-20240329_215144_1150_1250.mp4: 1088x1920 (no detections), 31.6ms
video 1/1 (frame 91/100) /workspace/codebase/input_videos/pi1-20240329_215144_1150_1250.mp4: 1088x1920 (no detections), 31.6ms
video 1/1 (frame 92/100) /workspace/codebase/input_videos/pi1-20240329_215144_1150_1250.mp4: 1088x1920 (no detections), 31.5ms
video 1/1 (frame 93/100) /workspace/codebase/input_videos/pi1-20240329_215144_1150_1250.mp4: 1088x1920 (no detections), 31.6ms
video 1/1 (frame 94/100) /workspace/codebase/input_videos/pi1-20240329_215144_1150_1250.mp4: 1088x1920 (no detections), 31.6ms
video 1/1 (frame 95/100) /workspace/codebase/input_videos/pi1-20240329_215144_1150_1250.mp4: 1088x1920 (no detections), 31.6ms
video 1/1 (frame 96/100) /workspace/codebase/input_videos/pi1-20240329_215144_1150_1250.mp4: 1088x1920 (no detections), 31.6ms
video 1/1 (frame 97/100) /workspace/codebase/input_videos/pi1-20240329_215144_1150_1250.mp4: 1088x1920 (no detections), 31.5ms
video 1/1 (frame 98/100) /workspace/codebase/input_videos/pi1-20240329_215144_1150_1250.mp4: 1088x1920 (no detections), 31.6ms
video 1/1 (frame 99/100) /workspace/codebase/input_videos/pi1-20240329_215144_1150_1250.mp4: 1088x1920 (no detections), 31.5ms
video 1/1 (frame 100/100) /workspace/codebase/input_videos/pi1-20240329_215144_1150_1250.mp4: 1088x1920 (no detections), 31.6ms
Speed: 4.7ms preprocess, 31.7ms inference, 31.7ms postprocess per image at shape (1, 3, 1088, 1920)
Results saved to [1mruns/detect/predict3[0m
40 labels saved to runs/detect/predict3/labels
💡 Learn more at https://docs.ultralytics.com/modes/predict
